seed_repo,dependency_repo,package_name,package_manager,package_requirements,package_url,methodology
https://github.com/a16z/helios,https://github.com/agemanning/delay_map,delay_map,RUST,= 0.3.0,pkg:cargo/delay_map@0.3.0,github_api
https://github.com/a16z/helios,https://github.com/akhilles/crc-catalog,crc-catalog,RUST,= 2.4.0,pkg:cargo/crc-catalog@2.4.0,github_api
https://github.com/a16z/helios,https://github.com/alexcrichton/cfg-if,cfg-if,RUST,= 1.0.0,pkg:cargo/cfg-if@1.0.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy,RUST,">= 0.14.0,< 0.15.0",pkg:cargo/alloy,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-consensus,RUST,= 0.14.0,pkg:cargo/alloy-consensus@0.14.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-consensus-any,RUST,= 0.14.0,pkg:cargo/alloy-consensus-any@0.14.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-contract,RUST,= 0.14.0,pkg:cargo/alloy-contract@0.14.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-eips,RUST,= 0.14.0,pkg:cargo/alloy-eips@0.14.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-genesis,RUST,= 0.14.0,pkg:cargo/alloy-genesis@0.14.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-json-rpc,RUST,= 0.14.0,pkg:cargo/alloy-json-rpc@0.14.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-network,RUST,= 0.14.0,pkg:cargo/alloy-network@0.14.0,github_api
https://github.com/a16z/helios,https://github.com/alloy-rs/alloy,alloy-network-primitives,RUST,= 0.14.0,pkg:cargo/alloy-network-primitives@0.14.0,github_api
